,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uris
251,Young Thug,Future Swag,0.674,0.664,9,-6.021,1,0.0906,0.0107,0.0,0.275,0.451,154.039,165867,spotify:track:1ckxFDBKrcepE6pDmayXzP
252,Young Thug,RiRi,0.677,0.489,8,-7.385,1,0.277,0.0144,0.0,0.318,0.457,139.848,244320,spotify:track:20rZiHL20MTJjfhLQZQsm4
253,Young Thug,Guwop (feat. Quavo Offset and Young Scooter),0.883,0.616,0,-7.218,0,0.274,0.014,1.48e-06,0.0967,0.482,141.969,315973,spotify:track:1BSA5I386L2IAmFQURYjIz
254,Young Thug,Harambe,0.816,0.488,8,-6.223,1,0.38,0.0479,0.0,0.156,0.218,132.125,190147,spotify:track:1yKLa9X63tBfvLojNOw9y8
255,Young Thug,Webbie (feat. Duke),0.696,0.589,1,-7.033,0,0.295,0.123,0.0,0.134,0.273,78.52,235893,spotify:track:6pRkwu4Pt9d7Ki6g4ppOYj
256,Young Thug,Kanye West (feat. Wyclef Jean),0.851,0.614,5,-6.668,0,0.1,0.046,0.0,0.0716,0.429,107.971,342720,spotify:track:5StUs128KSibE16fxntBSL
257,Young Thug,Pick Up The Phone (feat. Quavo),0.706,0.716,7,-4.263,0,0.0768,0.115,0.0,0.316,0.459,136.904,252263,spotify:track:5NAMZI9lVhxNa6AZp3iQVH
258,Young Thug,With Them,0.926,0.517,9,-6.794,1,0.184,0.00218,0.0,0.091,0.284,132.07,197747,spotify:track:0tISnxqgVmxqhVghsTi2Rr
259,Young Thug,Memo,0.823,0.564,1,-6.617,1,0.116,0.151,0.0,0.122,0.348,131.988,195413,spotify:track:7tk5tOCj84jine8kKJkPYs
260,Young Thug,Drippin,0.947,0.602,0,-7.275,1,0.0744,0.0515,0.0,0.0921,0.347,103.961,186453,spotify:track:0f85bMoarvHbdIcfhDjSjN
261,Young Thug,Slime Shit (feat. Yak Gotti Duke & Peewee Roscoe),0.896,0.423,8,-7.987,1,0.44,0.02,0.0,0.182,0.282,132.928,278040,spotify:track:7iynYKl5NWdjM1FXTzs6hw
262,Young Thug,Digits,0.769,0.632,10,-4.228,0,0.0537,0.0325,0.0,0.116,0.294,131.932,176387,spotify:track:4cg1yakyRSIOjxKM2I7J1q
263,Young Thug,Worth It,0.604,0.435,4,-9.191,0,0.135,0.0326,0.0,0.091,0.112,136.827,186026,spotify:track:5QCr1xFufKJOTkpcR9ih24
264,Young Thug,Tattoos,0.822,0.685,1,-5.872,0,0.0837,0.0039,0.0,0.242,0.306,102.033,241813,spotify:track:1vbUiccx25u2ncTe4RujS2
265,Young Thug,Problem,0.872,0.639,8,-5.658,0,0.103,0.125,0.0,0.144,0.469,111.968,241453,spotify:track:1o5jdqnWybW9Mau4GDWPMa
266,Migos,SRS,0.758,0.527,0,-8.864,0,0.155,0.151,0.0,0.675,0.29,107.924,271599,spotify:track:3XsOaaflhc5UEtdVU3a2nt
267,Migos,Woa,0.929,0.752,1,-6.112,1,0.317,0.0519,0.0,0.101,0.433,128.994,240353,spotify:track:1vd0HT63Uj5LIqeaeG5B7Q
268,Migos,Take Kare (feat. Lil Wayne),0.806,0.442,10,-10.75,0,0.17,0.0374,0.0,0.0788,0.283,90.006,266390,spotify:track:35LCTvk8UVBaBunzVJWMA5
269,Migos,Chances,0.86,0.591,11,-7.228,0,0.315,0.0171,0.0,0.0672,0.12,130.055,269610,spotify:track:1CRMzLfur56HzyZYGnQ6Pv
270,Migos,Hate It Or Love,0.734,0.61,1,-7.9,1,0.061,0.101,0.0,0.137,0.218,129.995,281037,spotify:track:0oto8THmJTMKUuC7TDBugp
271,Migos,No Way,0.714,0.681,4,-5.026,0,0.231,0.189,0.0,0.112,0.303,124.031,271484,spotify:track:7sJd82Bq8y7oHl2rbzmijx
272,Migos,Flying Coach,0.889,0.582,2,-4.99,1,0.402,0.0691,0.0,0.0798,0.319,129.975,282788,spotify:track:2m8ZvcNvIPTlCT4Qw1xAsA
273,Migos,Plan B,0.928,0.673,8,-6.12,1,0.368,0.387,0.0,0.0988,0.63,129.965,237394,spotify:track:0nnazcJ4kKCLAVXS2BnDx2
274,Migos,Stunna,0.883,0.901,7,-3.872,1,0.171,0.0654,0.0,0.61,0.411,110.029,248999,spotify:track:43bzQqXjp9XsgSUqGqMtCX
275,Migos,You Wanna See,0.871,0.621,2,-5.331,1,0.207,0.212,0.0,0.0796,0.311,128.161,316806,spotify:track:5Qh3GZWduOqS7ddKk0jz5a
276,Young Thug,F Cancer (Boosie) (feat. Quavo),0.802,0.718,10,-6.921,0,0.0992,0.0229,0.0,0.338,0.658,160.031,249640,spotify:track:1qPK58q90l8KNoWyXsLI2Y
277,Young Thug,My Boys (feat. Ralo Trouble and Lil Durk),0.773,0.561,9,-8.268,1,0.213,0.254,0.0,0.132,0.419,147.946,304076,spotify:track:3DTJYRV3jTQ4TUgqDuPkez
278,Young Thug,For My People (feat. Duke),0.679,0.599,10,-5.7,0,0.161,0.176,0.0,0.0708,0.464,118.997,240134,spotify:track:7vAtyxWiSO24Q6tVj7LOGo
279,Young Thug,King TROUP,0.641,0.564,4,-8.006,0,0.406,0.397,0.0,0.179,0.523,86.636,225669,spotify:track:6uJmfWyFMLGCjvvRF5mpG9
280,Young Thug,Ridin (feat. Lil Durk),0.861,0.604,9,-9.071,1,0.206,0.133,0.0,0.142,0.39,107.99,248889,spotify:track:0sMZD2KXYkkR0xDZiBoI7g
281,Young Thug,Hercules,0.742,0.559,5,-5.876,1,0.141,0.0324,0.0,0.0987,0.431,146.923,280831,spotify:track:5MD2QLnFM2ChpKAh33z0zr
282,Young Thug,Special (feat. Offset and Solo Lucci),0.91,0.499,8,-5.985,1,0.157,0.0813,0.0,0.0988,0.316,140.012,263592,spotify:track:1DAl49mec3YC7a3Yc86Gz2
283,Young Thug,Bread Winners (feat. Young Butta),0.782,0.658,1,-6.566,1,0.238,0.146,0.0,0.107,0.307,140.074,226325,spotify:track:3dM1Tf9uBxpsStGmuWkbtg
284,Young Thug,Family (feat. Dora and Dolly),0.872,0.372,2,-8.745,0,0.234,0.0998,0.0,0.135,0.219,137.907,243478,spotify:track:13unqv6c3ZC5Qz4J0yT2kF
285,Young Thug,Yeah Yeah (Feat. OG Boo Dirty & Heavy),0.704,0.576,4,-10.413,0,0.416,0.0352,0.0,0.33,0.345,69.026,268434,spotify:track:5Cb5BJxFQxrcECJoP17L6p
286,Young Thug,2 Cups Stuffed,0.909,0.554,5,-8.592,1,0.375,0.0144,0.0,0.0765,0.628,139.029,193567,spotify:track:52UcrN2ODBurPrrDdNHNye
287,Young Thug,Ball (Feat. OG Boo Dirty),0.714,0.715,9,-9.147,0,0.392,0.0124,0.0,0.348,0.838,137.825,146887,spotify:track:1DkTfJiDRvCx17lB1xKknU
288,Young Thug,Im Fo Real,0.568,0.6,0,-7.796,1,0.108,0.282,0.0,0.456,0.674,132.992,186828,spotify:track:6RtW7JxeaISnKyZENEKeRR
289,Young Thug,Jungle (Feat. Gucci Mane),0.613,0.638,10,-9.73,0,0.417,0.0994,0.0,0.171,0.502,137.044,147174,spotify:track:1tw2jU2CrKuPZLmPhoCzXB
290,Young Thug,Scared Of You,0.686,0.54,1,-9.692,1,0.182,0.00693,0.0,0.808,0.144,141.057,177084,spotify:track:6JiFGhswa9fOuOsLnZmzR9
291,Young Thug,Murder,0.644,0.54,9,-11.121,0,0.122,0.00346,0.0,0.815,0.393,66.488,187690,spotify:track:6DCfsH0viNbYENUnlroDwU
292,Young Thug,Nigeria (Feat. Gucci Mane & PeeWee Longway),0.473,0.447,8,-11.056,1,0.193,0.0233,0.0,0.298,0.291,140.173,210547,spotify:track:76F4IMJaVHKRPabwguAm1N
293,Young Thug,Dead For Real (Feat. PeeWee Longway),0.818,0.558,0,-10.406,1,0.287,0.0384,0.0,0.186,0.559,101.02,120320,spotify:track:6jT6KhLZPgqi8IaMuCkDV6
294,Young Thug,Condo Music (Feat. Wicced),0.427,0.726,3,-7.035,0,0.231,0.103,0.0,0.342,0.549,87.153,191216,spotify:track:4l1RVWoJ2CgxshcvYyeFVK
